Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP	UNIPROBE	3DFOOTPRINT
egr1	1.544	1.844	1.883	1.267	1.772	1.792	1.281	1.634	1.380	1.311	1.872	1.151
esrra	1.737	1.915	1.738	1.309	1.864	1.692	1.799	1.539	1.497	1.283	1.788	
gata3	1.545	1.971	1.520	1.312	1.928	1.610	1.450	1.342	1.500	1.455	1.779	1.718
hnf4a	1.522	1.590	1.535	1.520	1.273	1.549	1.581	1.510	1.519	1.502	1.765	1.006
mafk	1.921	1.601	1.644		1.975	1.986		1.645		1.921	1.914	
max	1.914	1.971	1.961		1.327	1.950	1.904	1.358		1.914	1.920	1.050
myb		1.711	1.817					1.582	1.810	1.705	1.804	
pou2f2	1.422	1.383	1.503	1.376	1.764	0.959	1.570	1.779	1.326	1.422	1.627	
tcf3			1.465		1.532	1.627		1.109	2.000	1.506	1.952	
