Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP	UNIPROBE	3DFOOTPRINT
egr1	1.609	1.849	1.891	1.300	1.796	1.800	1.256	1.645	1.431	1.295	1.882	1.170
esrra	1.776	1.935	1.768	1.360	1.897	1.754	1.823	1.565	1.553	1.325	1.812	
gata3	1.561	1.976	1.633	1.381	1.951	1.669	1.499	1.335	1.761	1.550	1.807	1.783
hnf4a	1.568	1.655	1.598	1.574	1.368	1.605	1.636	1.504	1.563	1.540	1.772	1.252
mafk	2.000	1.585	1.607		1.959	1.952		1.600		2.000	2.000	
max	1.934	1.979	1.968		1.393	1.950	1.915	1.402		1.934	1.920	1.343
myb		1.791	1.819					1.625	1.803	1.786	1.838	
pou2f2	1.566	1.573	1.608	1.478	1.831	0.988	1.664	1.813	1.456	1.566	1.719	
tcf3			1.132		1.132	1.597		1.032	1.644	1.264	1.867	
