Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP	UNIPROBE	3DFOOTPRINT
egr1	1.009	1.266	1.340	1.003	1.046	1.053	0.979	1.452	0.910	0.968	1.386	1.449
esrra	0.753	0.845	0.773	1.377	0.761	1.028	1.253	1.101	1.319	1.210	1.320	
gata3	1.587	1.104	1.870	1.769	1.798	1.630	1.848	1.657	1.544	1.755	1.859	1.867
hnf4a	0.881	0.878	1.225	0.987	1.219	1.286	0.813	1.229	0.757	0.785	1.035	0.808
mafk	1.861	0.827	1.959		1.866	1.839		1.593		1.861	1.899	
max	1.287	1.327	1.373		1.073	0.874	1.289	1.311		1.287	1.290	1.132
myb		0.707	0.911					1.337	0.928	0.706	1.484	
pou2f2	1.906	1.913	1.926	1.927	1.923	0.680	1.916	1.873	1.921	1.906	1.906	
tcf3			0.702		0.694	0.702		1.128	2.000	0.702	2.000	
