Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP	UNIPROBE	3DFOOTPRINT
egr1	0.687	0.903	0.927	0.564	0.851	0.842	0.507	0.772	0.610	0.540	0.909	0.515
esrra	0.825	0.953	0.848	0.597	0.912	0.790	0.878	0.704	0.680	0.580	0.676	
gata3	0.693	0.986	0.688	0.591	0.967	0.765	0.640	0.655	0.820	0.655	0.515	0.855
hnf4a	0.687	0.752	0.670	0.718	0.569	0.682	0.737	0.673	0.706	0.685	0.735	0.537
mafk	0.949	0.734	0.828		0.984	0.562		0.781		0.949	0.930	
max	0.937	0.981	0.976		0.549	0.970	0.930	0.707		0.937	0.921	0.544
myb		0.903	0.879					0.776	0.882	0.899	0.626	
pou2f2	0.660	0.636	0.729	0.703	0.864	0.499	0.740	0.896	0.624	0.660	0.650	
tcf3			0.653		0.667	0.583		0.514	1.000	0.667	0.917	
