,Scoring_function,energy,gomer,sumlog,sumoc,maxoc,ama,maxlog
0,energy,1.0,0.9899645762531932,3.873389177713794e-08,0.889958618171599,0.8701150806847204,0.889958618171599,3.3576409477501685e-08
1,gomer,0.9899645762531932,1.0,3.873389177713794e-08,0.772358689741591,0.8503529931659453,0.772358689741591,2.9087751417976993e-08
2,sumlog,3.873389177713794e-08,3.873389177713794e-08,1.0,3.873389177713794e-08,3.873389177713794e-08,3.873389177713794e-08,0.0004938502798801021
3,sumoc,0.889958618171599,0.772358689741591,3.873389177713794e-08,1.0,0.889958618171599,0.9799307399921785,2.9087751417976993e-08
4,maxoc,0.8701150806847204,0.8503529931659453,3.873389177713794e-08,0.889958618171599,1.0,0.889958618171599,2.9087751417976993e-08
5,ama,0.889958618171599,0.772358689741591,3.873389177713794e-08,0.9799307399921785,0.889958618171599,1.0,2.9087751417976993e-08
6,maxlog,3.3576409477501685e-08,2.9087751417976993e-08,0.0004938502798801021,2.9087751417976993e-08,2.9087751417976993e-08,2.9087751417976993e-08,1.0
