Scoring+AF8-function,energy,gomer,sumlog,sumoc,maxoc,ama,maxlog
energy,1,0.2321270178,1.03517127037357E+AC0-007,0.2130548841,0.2321270178,0.0314907426,2.9087751417977E+AC0-008
gomer,0.2321270178,1,2.05093936388011E+AC0-007,0.6780908703,0.830684471,0.1344540153,3.35764094775017E+AC0-008
sumlog,1.03517127037357E+AC0-007,2.05093936388011E+AC0-007,1,2.68450263792628E+AC0-007,2.34715348847088E+AC0-007,5.20574799235619E+AC0-007,0.0018916658
sumoc,0.2130548841,0.6780908703,2.68450263792628E+AC0-007,1,0.8503529932,0.1783566707,4.46561066101842E+AC0-008
maxoc,0.2321270178,0.830684471,2.34715348847088E+AC0-007,0.8503529932,1,0.1626712626,5.14521439647473E+AC0-008
ama,0.0314907426,0.1344540153,5.20574799235619E+AC0-007,0.1783566707,0.1626712626,1,3.06845616692223E+AC0-007
maxlog,2.9087751417977E+AC0-008,3.35764094775017E+AC0-008,0.0018916658,4.46561066101842E+AC0-008,5.14521439647473E+AC0-008,3.06845616692223E+AC0-007,1
